"","ID","DOSE","SEX","MULTIPLE","ROUTE","FORMULATION","CMAX","AUCLST","AUCIFO","TMAX","LAMZHL","CLFO","VZFO"
"1","1",100,"M","1","PO","1",2.386,1.472,NA,0.5,NA,NA,NA
"2","2",100,"M","1","PO","1",1.711,34.08525,100.141373371612,0.5,40.1636979594323,998.588262105339,57862.1661746263
"3","3",100,"M","1","PO","1",6.972,7.395,NA,1,NA,NA,NA
"4","4",300,"M","1","PO","1",3.966,23.09,NA,8,NA,NA,NA
"5","5",300,"M","1","PO","1",14.19,117.08025,NA,4,NA,NA,NA
"6","6",300,"M","1","PO","1",1.944,36.21775,NA,0.5,NA,NA,NA
"7","7",1000,"M","1","PO","1",9.237,111.55875,167.662034066287,2,17.5091549620443,5964.37950648171,150662.439320704
"8","8",1000,"M","1","PO","1",8.468,31.467,NA,0.5,NA,NA,NA
"9","9",1000,"M","1","PO","1",8.51,91.2515,110.96264777029,1,10.4375297957042,9012.04162025908,135704.877073284
"10","10",1000,"M","1","PO","1",11.52,131.24575,NA,2,NA,NA,NA
"11","11",1000,"M","1","PO","1",9.698,21.327,116.430125508826,0.5,37.7335222145858,8588.84241195974,467559.105827209
"12","12",100,"F","1","PO","1",2.324,3.4255,NA,0.5,NA,NA,NA
"13","13",100,"F","1","PO","1",3.484,4.54825,NA,0.5,NA,NA,NA
"14","14",100,"F","1","PO","1",5.217,25.023,NA,4,NA,NA,NA
"15","15",300,"F","1","PO","1",2.438,9.4385,NA,0.5,NA,NA,NA
"16","16",300,"F","1","PO","1",1.743,0.43575,NA,0.5,NA,NA,NA
"17","17",300,"F","1","PO","1",3.957,51.72175,68.5801934167362,0.5,11.6620584061278,4374.44085607942,73599.0655210321
"18","18",1000,"F","1","PO","1",52.69,121.2155,177.477278488453,1,26.190525945305,5634.52408396641,212900.165144372
"19","19",1000,"F","1","PO","1",6.271,24.606,NA,2,NA,NA,NA
"20","20",1000,"F","1","PO","1",9.04,25.68125,30.3395365306032,0.5,3.05764978686361,32960.2925539522,145396.294364409
"21","21",1000,"F","1","PO","1",3.879,66.0445,NA,2,NA,NA,NA
"22","22",1000,"F","1","PO","1",6.356,51.4425,80.5353860259643,0.5,17.2061876478234,12416.9020519453,308228.256137206
