"","ID","DOSE","SEX","MULTIPLE","ROUTE","FORMULATION","CMAX","AUCLST","AUCIFO","TMAX","LAMZHL","CLFO","VZFO"
"1","4",10,"M","1","PO","1",76.97079472,63.917379383965,NA,0.75,NA,NA,NA
"2","5",10,"M","1","PO","1",59.38366028,78.137037017601,79.1959075697662,1,1.33104748836729,126.269150854679,242.474096147399
"3","6",10,"M","1","PO","1",46.71255425,74.586723006204,147.440598884291,0.083,20.6579795192274,67.8239241814791,2021.36757668519
"4","7",125,"M","1","PO","1",19.1279,140.52855,NA,4,NA,NA,NA
"5","8",125,"M","1","PO","1",31.7079,117.300375,122.159824280641,0.5,5.61385594658431,1023.24967096247,8287.38312912511
"6","9",125,"M","1","PO","1",25.8754,182.953425,196.294270809036,0.5,6.34584796789602,636.799023653654,5829.97363842156
"7","10",250,"M","1","PO","1",63.6444,819.358325,NA,8,NA,NA,NA
"8","11",250,"M","1","PO","1",47.1567,183.191325,187.119597301972,1,4.53811811763948,1336.04391846009,8747.2405318417
"9","12",250,"M","1","PO","1",29.3005,161.519025,173.926712279317,0.5,6.81756120089411,1437.3870276954,14137.6525873889
"10","13",500,"M","1","PO","1",55.0548,393.130425,NA,0.5,NA,NA,NA
"11","14",500,"M","1","PO","1",49.2896,380.21735,383.675663821511,0.5,3.99520079145322,1303.18403575527,7511.36560470852
"12","15",500,"M","1","PO","1",63.8124,664.696175,NA,0.5,NA,NA,NA
"13","16",125,"F","1","PO","1",16.2888,84.7068,89.596775730367,1,5.64912148418405,1395.13949002111,11370.330411133
"14","17",125,"F","1","PO","1",24.6034,95.735875,101.855201423683,0.5,7.06932309583594,1227.23236764358,12516.3924255332
"15","18",125,"F","1","PO","1",10.4137,81.163525,87.131164911201,0.5,6.89408796507667,1434.6187168207,14268.8131864254
"16","19",250,"F","1","PO","1",28.9909,101.655375,106.20368794269,0.5,5.25441715421597,2353.96721943316,17844.2992846913
"17","20",250,"F","1","PO","1",20.6073,91.22545,96.5103895099014,0.5,6.10540153453001,2590.39468465052,22816.7986919135
"18","21",250,"F","1","PO","1",20.1941,106.554325,112.110234715426,0.5,6.4184385911557,2229.94805634458,20648.9834519018
"19","22",500,"F","1","PO","1",20.8955,221.518925,231.523616807243,1,6.23233928153303,2159.60689840242,19417.8138252112
"20","23",500,"F","1","PO","1",63.5203,210.250025,214.312065022066,0.5,4.69265264769453,2333.04643837256,15794.8800100132
"21","24",500,"F","1","PO","1",73.308,858.596575,NA,8,NA,NA,NA
"22","43",300,"M","1","PO","1",139.07,308.3775,NA,0.5,NA,NA,NA
"23","44",300,"M","1","PO","1",73.19,198.9925,NA,0.5,NA,NA,NA
"24","45",300,"M","1","PO","1",48.07,174.94,271.16605356351,0.5,4.7676066993536,1106.33317134491,7609.58363151696
"25","46",800,"M","1","PO","1",82.9,468.095,NA,8,NA,NA,NA
"26","47",800,"M","1","PO","1",68.02,379.51,NA,2,NA,NA,NA
"27","48",800,"M","1","PO","1",75.55,326.2525,411.734242541599,1,3.5953536912658,1943.00089072425,10078.3435618318
"28","49",1500,"M","1","PO","1",84.14,285.2675,571.972271692601,0.5,8.41001287142654,2622.50475108023,31819.0700770724
"29","50",1500,"M","1","PO","1",182.97,718.7475,NA,1,NA,NA,NA
"30","51",1500,"M","1","PO","1",75.56,495.145,NA,8,NA,NA,NA
"31","52",300,"F","1","PO","1",339.56,595.02,NA,2,NA,NA,NA
"32","53",300,"F","1","PO","1",30.78,122.9175,NA,2,NA,NA,NA
"33","54",300,"F","1","PO","1",103.59,163.3225,244.867777415163,0.5,6.06468660174881,1225.15099032962,10719.4503628638
"34","55",800,"F","1","PO","1",80.99,264.0825,320.885261629153,1,3.00325507789979,2493.10297374941,10802.069712801
"35","56",800,"F","1","PO","1",51.68,174.0275,NA,2,NA,NA,NA
"36","57",800,"F","1","PO","1",40.78,146.5775,153.091473467699,0.5,1.68475460573791,5225.63394210714,12701.3585264147
"37","58",1500,"F","1","PO","1",82.8,352.18,NA,1,NA,NA,NA
"38","59",1500,"F","1","PO","1",421.74,739.855,NA,2,NA,NA,NA
"39","60",1500,"F","1","PO","1",126.97,338.3075,NA,2,NA,NA,NA
