ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,SEX,MULTIPLE,DOSE,ROUTE,FORMULATION,TAD,BQL,LIV,RATE,TYPE,WT,AMT2,ROUTE2
1,0,.,0,0,2,.,.,4,1,1,12.5,1,1,0,0,0,.,1,2.32,.,PO
1,0.25,.,0.73,0,2,.,.,4,1,1,12.5,1,1,0.25,0,0,.,1,2.32,.,PO
1,0.5,.,2.75,0,2,.,.,4,1,1,12.5,1,1,0.5,0,0,.,1,2.32,.,PO
1,1,.,7.27,0,2,.,.,4,1,1,12.5,1,1,1,0,0,.,1,2.32,.,PO
1,2,.,6.45,0,2,.,.,4,1,1,12.5,1,1,2,0,0,.,1,2.32,.,PO
1,3,.,6.85,0,2,.,.,4,1,1,12.5,1,1,3,0,0,.,1,2.32,.,PO
1,4,.,4.23,0,2,.,.,4,1,1,12.5,1,1,4,0,0,.,1,2.32,.,PO
1,6,.,6.03,0,2,.,.,4,1,1,12.5,1,1,6,0,0,.,1,2.32,.,PO
1,8,.,8.11,0,2,.,.,4,1,1,12.5,1,1,8,0,0,.,1,2.32,.,PO
1,12,.,0.5,0,2,.,.,4,1,1,12.5,1,1,8,1,0,.,2,2.32,.,PO
1,24,.,0.5,0,2,.,.,4,1,1,12.5,1,1,8,1,0,.,2,2.32,.,PO
2,0,.,0,0,2,.,.,4,1,1,12.5,1,2,0,0,0,.,1,2.32,.,PO
2,0.25,.,0.12,0,2,.,.,4,1,1,12.5,1,2,0.25,0,0,.,1,2.32,.,PO
2,0.5,.,0.18,0,2,.,.,4,1,1,12.5,1,2,0.5,0,0,.,1,2.32,.,PO
2,1,.,0.14,0,2,.,.,4,1,1,12.5,1,2,1,0,0,.,1,2.32,.,PO
2,2,.,1.17,0,2,.,.,4,1,1,12.5,1,2,2,0,0,.,1,2.32,.,PO
2,3,.,8.4,0,2,.,.,4,1,1,12.5,1,2,3,0,0,.,1,2.32,.,PO
2,4,.,15.5,0,2,.,.,4,1,1,12.5,1,2,4,0,0,.,1,2.32,.,PO
2,6,.,8.51,0,2,.,.,4,1,1,12.5,1,2,6,0,0,.,1,2.32,.,PO
2,8,.,6.04,0,2,.,.,4,1,1,12.5,1,2,8,0,0,.,1,2.32,.,PO
2,12,.,0.5,0,2,.,.,4,1,1,12.5,1,2,8,1,0,.,2,2.32,.,PO
2,24,.,0.5,0,2,.,.,4,1,1,12.5,1,2,8,1,0,.,2,2.32,.,PO
